Player,Offense,Defense,Scoring,Control,Impact
Malik Beasley,128.10354601242653,76.68151909862735,0.5294669371879359,1.3157894736842106,0.01913876613272101
Marco Belinelli,109.19396006311459,114.41821918574483,0.44890833284449183,4.0,0.018662880357109408
Jordan Bell,116.21657638237679,76.09124106258254,0.5571202519408315,0.7619047619047619,0.004511280588427096
DeAndre' Bembry,94.28236803579713,110.4794774840478,0.4415408913240258,1.35,0.022077927316238196
Dragan Bender,119.48022963747735,76.23693461132424,0.5162863280314685,1.3333333333333333,0.004123948416693457
DÄvis BertÄns,121.4388171549082,114.21749904887609,0.4671563418178541,1.5593220338983051,0.05569689594637188
Patrick Beverley,114.9333009117635,109.14407107482872,0.4792094428180768,2.796875,0.037065947064198655
Khem Birch,116.719625890588,112.48350907400275,0.574336390530694,1.5217391304347827,0.014814297868337763
Goga Bitadze,100.87428298068816,106.91810331016356,0.4805764710333869,0.84,0.009721191587290214
Bismack Biyombo,116.61944496058076,112.74697988712666,0.5791753305536191,1.0416666666666667,0.033403608367169386
Nemanja Bjelica,116.65669738721469,114.32385112603578,0.4916726650396613,1.9456521739130435,0.06713366761656617
Eric Bledsoe,113.97508895289724,105.63742895879683,0.5129240562553533,2.157142857142857,0.06292664961794946
Bogdan BogdanoviÄ,106.83312634398447,116.72501749504536,0.4457932739224634,1.898876404494382,0.05039488745951011
Bojan BogdanoviÄ,109.74513868840891,119.43351236819416,0.45766827677840377,0.8238993710691824,0.07476541515407349
Jonah Bolden,92.23091597164185,74.04128428195422,0.4717577620086969,0.0,2.2784245396096446e-05
Marques Bolden,0.0,60.32431611342346,0.0,0.0,0.00018106467352255884
Jordan Bone,72.39378550405692,131.97662565794803,0.3039462074551951,4.0,0.0001951667354758947
Isaac Bonga,122.16806714224455,113.10985643838275,0.5510586186406975,1.4878048780487805,0.021554526295035563
Devin Booker,115.23867550270694,111.39215970338478,0.5105252134850904,1.6721311475409837,0.10367095855327392
Chris Boucher,123.39804551340565,105.34740880165454,0.5573378533784267,1.0,0.026035517981153986
Brian Bowen,50.33739323247962,110.5157993492768,0.24743693660338592,0.0,8.034042634124147e-05
Ky Bowman,91.6307265798992,139.58269276963645,0.409994795954698,1.8714285714285714,0.027277226546441484
Avery Bradley,103.23977146915375,113.55841700977017,0.4413583774137494,1.3404255319148937,0.021213409671098412
Tony Bradley,134.87006949658266,111.0283092299181,0.6512831746978359,0.7391304347826086,0.022214781399227567
Jarrell Brantley,26.676706852682152,101.78811771718003,0.11483283864400971,0.5,0.0002578117763933567
Ignas Brazdeikis,82.4138836074403,122.35852471125425,0.38254722228346477,2.0,0.00032017948954063353
Mikal Bridges,119.94660294013471,106.88645387761095,0.5329326564481686,1.7692307692307692,0.048700676589208666
Miles Bridges,103.8697534190435,114.63783490364155,0.45583284651206635,1.2,0.05824447600470393
Oshae Brissett,97.00256619196726,111.30573550307236,0.43647099575357107,1.0,0.0016096147128997831
Ryan Broekhoff,116.52859288690607,105.82024424506865,0.4274748518567535,1.8333333333333333,0.005464309408524327
Malcolm Brogdon,111.50291411056337,112.1678835928131,0.5011335791620501,2.982608695652174,0.06266553254616831
Dillon Brooks,100.13345991416057,115.28813153631208,0.436335392301232,1.1851851851851851,0.039365259837326284
Bruce Brown,103.9997485437839,125.4231658601126,0.47498785335374727,2.3,0.051328851430160326
Charlie Brown,92.16147501582013,112.96494834077579,0.37307625880217926,0.6666666666666666,0.0008296507133450679
Jaylen Brown,111.67961236651482,110.41927644331459,0.5012569709224258,0.9396551724137931,0.06251379157844658
Moses Brown,81.15275782688619,103.91033028138153,0.4225814658041758,0.3333333333333333,0.0004324301571846273
Sterling Brown,97.7384233758829,104.72152474962687,0.4137184287931096,1.2777777777777777,0.01652580882394466
Troy Brown Jr.,110.68011578774616,110.8298436519919,0.503112203360316,2.1846153846153844,0.05414497005312932
Jalen Brunson,115.70627343054564,110.24909680384344,0.5131375646335685,2.8484848484848486,0.03410349134398162
Thomas Bryant,127.14191589468219,111.66677609242055,0.5976223414705966,1.4791666666666667,0.04336770690561154
Reggie Bullock,104.478685852085,118.08564807127185,0.4437738702686748,2.210526315789474,0.013813457977324476
Trey Burke,117.89059210854631,117.80843668562311,0.525924435282784,4.416666666666667,0.010759817971346897
Alec Burks,133.47648622367453,76.31128194711924,0.5732965537293484,2.011764705882353,0.03280931337037889
Deonte Burton,83.32025404412995,110.72370177157389,0.37780183434651465,0.7857142857142857,0.0037468720109964456
Jimmy Butler,122.81457221842943,109.11895029329709,0.5689200613136858,2.805084745762712,0.09492122111317063
Bruno Caboclo,116.32780092398237,73.36572170481148,0.5389829002708197,1.3333333333333333,0.0030075203922847312
Kentavious Caldwell-Pope,116.3905968595456,114.39889251081227,0.5019013010803116,1.9090909090909092,0.03542277136729906
Vlatko ÄanÄar,105.99700719595963,115.4121351267181,0.4731641470729251,1.0,0.0008226973093496376
Clint Capela,124.49204324479767,103.63535082566565,0.6093167054594283,0.7619047619047619,0.06357502674857661
DeMarre Carroll,113.97591353234851,76.76360570304064,0.5235460515986048,1.125,0.002255640294213548
Jevon Carter,108.12880152256731,107.7786538993388,0.4417621756742796,2.096774193548387,0.015532441702870539
Vince Carter,93.16642436691137,114.26426366332369,0.37539933421782357,1.4545454545454546,0.015717271847259344
Wendell Carter Jr.,116.34223151179938,108.56693577662037,0.5611916204729822,0.7083333333333334,0.04193521779537714
Michael Carter-Williams,111.11026166400292,108.91536992639675,0.5059736510897079,2.125,0.02481498634528286
Alex Caruso,108.05333888420552,110.046073327039,0.4774853460137397,2.217391304347826,0.023548092329397675
Willie Cauley-Stein,131.84190209516248,74.0940855122543,0.6493500402249823,1.75,0.022715892659908154
Tyson Chandler,134.90152422309964,107.48059787525658,0.6508351355342639,0.75,0.004420780005695725
Wilson Chandler,100.46247634701629,108.21970403070641,0.4121373562018728,1.1470588235294117,0.015166347523784625
Joe Chealey,29.86477936064724,109.05732964512327,0.12157798595946125,0.5,-0.00035678086373478667
Zylan Cheatham,67.59733724845582,108.76822514102294,0.32183542052075914,0.6666666666666666,8.055747264472194e-05
Chris Chiozza,127.91607059524333,75.45820377172926,0.5137801944116859,2.823529411764706,0.004237869643673939
Marquese Chriss,113.6835976781074,131.1219707251808,0.5454075744584155,1.4615384615384615,0.06650145541748717
Gary Clark,144.4906537494454,76.54689498585029,0.5531661885178791,3.0,0.0050353182325373145
Brandon Clarke,128.7272119694675,110.76580829323093,0.6125062012145235,1.565217391304348,0.05763279871608552
Jordan Clarkson,134.26810980904835,76.89095152697888,0.574942984209338,1.5121951219512195,0.03053088883076924
Nicolas Claxton,118.90986172977745,109.72485056760522,0.5817565328802984,1.7777777777777777,0.005671625805293419
Chris Clemons,104.38673076854784,112.27340653962662,0.40387185919142066,1.2941176470588236,0.006736426675345866
Antonius Cleveland,67.43170911454459,104.53093971589546,0.35194650649606013,0.0,0.00011626190230902825
Amir Coffey,94.11595628031006,114.94907669223763,0.44824900665146683,3.0,0.001133386829822609
John Collins,122.88464760973504,109.88787728001816,0.5655980549284572,0.8,0.0803839357818777
Zach Collins,112.22400782875953,116.38592116338607,0.4779321074819738,1.0,0.0014702625344277331
Mike Conley,107.27503258123353,118.5982208667815,0.4602397629824608,2.3421052631578947,0.0357928682892777
Pat Connaughton,114.1997965738938,105.88376690121028,0.49330085523067563,2.021276595744681,0.031160792839657663
Quinn Cook,99.90228329106593,114.83995769646204,0.4351771319170078,1.6,0.009902274723131326
Tyler Cook,149.60152214832618,115.52154746181398,0.7199002625119665,1.0,0.0018106467352255885
Robert Covington,127.14388552004158,74.38138755104181,0.5197305377428848,0.7956989247311828,0.03162453260978186
